kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LPS.5.sm_62.ptx 56 : 6400 35200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 730 : 136512 1229384 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 427 : 250000 2251636 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 764 : 230496 2077185 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 55 : 6400 38400 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 729 : 136512 1229405 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 758 : 230496 2075435 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 49 : 7600 45600 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 723 : 142200 3474323 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 37 : 12800 197120 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 745 : 230496 1159763 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 36 : 12800 189440 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 710 : 240000 765980 0 9600 9600 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 449 : 142200 1421599 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 112 : 12800 64000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 115 : 12800 14140 0 0 0 0 0 0 100 
ispass-2009-LPS.5.sm_62.ptx 452 : 142200 457909 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 744 : 250000 98057 0 0 0 0 0 0 4704 
ispass-2009-LPS.5.sm_62.ptx 35 : 12800 174080 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 709 : 240000 2166200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 114 : 12800 78080 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 451 : 142200 3474381 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 743 : 250000 1504396 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 34 : 12800 139520 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 708 : 240000 74922308 672160 0 0 34800 9600 0 0 
ispass-2009-LPS.5.sm_62.ptx 778 : 320000 1607328 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 69 : 7600 38640 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 706 : 240000 2162544 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 445 : 320000 892533 0 0 0 0 0 0 3700 
ispass-2009-LPS.5.sm_62.ptx 108 : 12800 77440 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 111 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 742 : 250000 1508004 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 33 : 12800 99840 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 707 : 240000 2162124 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 446 : 142200 711735 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 109 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 38 : 12800 106240 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 117 : 10000 90000 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 454 : 142200 853448 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 748 : 19504 175807 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 39 : 12800 78080 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 713 : 250000 1500876 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 749 : 19504 488270 0 5296 5296 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 40 : 12800 115840 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 714 : 250000 1500692 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 453 : 142200 468286 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 119 : 10000 2126432 0 0 0 1450 400 0 0 
ispass-2009-LPS.5.sm_62.ptx 750 : 19504 97863 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 41 : 12800 68480 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 42 : 12800 78080 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 43 : 12800 68480 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 717 : 320000 894840 0 0 0 0 0 0 3700 
ispass-2009-LPS.5.sm_62.ptx 753 : 230496 2079855 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 44 : 12800 115840 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 718 : 142200 712383 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 754 : 230496 5801898 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 45 : 12800 68480 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 755 : 230496 2076568 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 46 : 12800 76800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 756 : 230496 5801368 0 9408 9408 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 47 : 12800 26000 0 0 0 0 0 0 100 
ispass-2009-LPS.5.sm_62.ptx 721 : 142200 1421814 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 100 : 12800 77440 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 437 : 250000 2250668 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 101 : 12800 119680 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 438 : 250000 799440 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 779 : 320000 2947392 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 70 : 7600 46240 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 102 : 12800 115840 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 63 : 1200 10800 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 737 : 250000 1259760 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 780 : 320000 3215808 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 71 : 7600 69680 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 103 : 12800 76800 0 0 0 0 0 0 0 
